Title,Price,URL Link
"Acer Aspire Lite,13th Gen, Intel Core i3-1305U, 16GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-53, Metal Body, 36 WHR, Thin and Light Premium Laptop",33990,https://www.amazon.in/i3-1305U-39-62cm-Windows-AL15-53-Premium/dp/B0DKK15M2P/ref=sr_1_69?crid=13LY6V3ENLKJD&dib=eyJ2IjoiMSJ9.Uj4MYBESiSDAH75uwf6SpWkj4OQ0FyMvxO3zT9xgY7T5zLBlupVniJu3NNUPccJrz01Mq2G2Yl3yoozz0cf2bxUG0-VMeHtDMSG_rFTiIwn2xAsRqVsEWsudxEUP5E8i_joGFfZZ9NQn6SVWm2XBzdJvajf2iNGhnb2lk0Dnkq8r4a1Syg2fgQ4dHq-hoYiY75lOrVayNnoVpDwYSWnMTgCCUGtiJvtlFzAXgLKuOIY.uLEDD9VxuqvuUwR_hZpg9tJPiZ9intTmiv9oPB27T70&dib_tag=se&keywords=laptop&qid=1750080793&sprefix=laptop%2Caps%2C236&sr=8-69
"HP 15, Intel Core Ultra 5 125H Laptop (16GB DDR5,1TB SSD) IPS, Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24,Silver,1.65kg, FHD Camera w/Shutter, Backlit, fd1255TU",68490,https://www.amazon.in/HP-Anti-Glare-Micro-Edge-Shutter-fd1255TU/dp/B0F5B1N9SJ/ref=sr_1_70?crid=13LY6V3ENLKJD&dib=eyJ2IjoiMSJ9.Uj4MYBESiSDAH75uwf6SpWkj4OQ0FyMvxO3zT9xgY7T5zLBlupVniJu3NNUPccJrz01Mq2G2Yl3yoozz0cf2bxUG0-VMeHtDMSG_rFTiIwn2xAsRqVsEWsudxEUP5E8i_joGFfZZ9NQn6SVWm2XBzdJvajf2iNGhnb2lk0Dnkq8r4a1Syg2fgQ4dHq-hoYiY75lOrVayNnoVpDwYSWnMTgCCUGtiJvtlFzAXgLKuOIY.uLEDD9VxuqvuUwR_hZpg9tJPiZ9intTmiv9oPB27T70&dib_tag=se&keywords=laptop&qid=1750080793&sprefix=laptop%2Caps%2C236&sr=8-70
"Gooyo 2011A Battery Operated Educational Learning Laptop Toy with LED Display and Music Effect | Babies/Girls/Boys/Toddlers | Blue Color, Power Source: 3xAA Battery (Not Included)",368,https://www.amazon.in/Gooyo-Educational-Laptop-Toy-Toddlers/dp/B0BMVM18R8/ref=sr_1_71?crid=13LY6V3ENLKJD&dib=eyJ2IjoiMSJ9.Uj4MYBESiSDAH75uwf6SpWkj4OQ0FyMvxO3zT9xgY7T5zLBlupVniJu3NNUPccJrz01Mq2G2Yl3yoozz0cf2bxUG0-VMeHtDMSG_rFTiIwn2xAsRqVsEWsudxEUP5E8i_joGFfZZ9NQn6SVWm2XBzdJvajf2iNGhnb2lk0Dnkq8r4a1Syg2fgQ4dHq-hoYiY75lOrVayNnoVpDwYSWnMTgCCUGtiJvtlFzAXgLKuOIY.uLEDD9VxuqvuUwR_hZpg9tJPiZ9intTmiv9oPB27T70&dib_tag=se&keywords=laptop&qid=1750080793&sprefix=laptop%2Caps%2C236&sr=8-71
"HP Victus,13th Gen IntelCore i5-13420H, 6GB RTX 4050 Gaming Laptop (16GB DDR4,512GB SSD) (fa1279tx) IPS, 15.6""/39.6cm, Flicker-Free,Win 11,Office 21, Mica Silver, 2.29kg, EnhancedCooling,fa1319TX",76490,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzAxNDcwNjI0MDU4ODk2OjE3NTAwODA3NTU6c3BfbXRmOjMwMDQ1NjEyMTE0NTczMjo6MDo6&url=%2FHP-i5-13420H-15-6-inch-Backlit-fa1319TX%2Fdp%2FB0D1YJR2ZY%2Fref%3Dsr_1_12_sspa%3Fcrid%3D13LY6V3ENLKJD%26dib%3DeyJ2IjoiMSJ9.dEssY8hIo2mSCUrFVkz3fD6p5WSK4G01gGPJVJLgH2mbCYWzmDzVMPwLRkcQPdk7g3dDHrFcB7B7QIWsf_pzzf8YFntBZ7aQNzPQT9zQE-rqKl_5ZXm_jUXE-DNyS-xYFPPrQYBDleuB8Lc8pUDfb_-tKcMuJxUowiNg31oTCjfI4edbBj5QgfKnTVGX1qSI1gwuZ2pSnGdn3UYSZ0vtVom2MO73yYWALUDBcKNZ9w4.9vl-1ZJNBdGoDhhB-aP08O-2krhHOivD1soSXNlB7ZE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1750080755%26sprefix%3Dlaptop%252Caps%252C236%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ACER One 14 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) Z2-493 Entry Level Laptop (14 inch HD Display, Silver, 1.5 Kg) 1 Years Brand Warranty",25990,https://www.amazon.in/ACER-Ryzen-Dual-Core-3250U/dp/B0F3354GDC/ref=sr_1_72?crid=13LY6V3ENLKJD&dib=eyJ2IjoiMSJ9.Uj4MYBESiSDAH75uwf6SpWkj4OQ0FyMvxO3zT9xgY7T5zLBlupVniJu3NNUPccJrz01Mq2G2Yl3yoozz0cf2bxUG0-VMeHtDMSG_rFTiIwn2xAsRqVsEWsudxEUP5E8i_joGFfZZ9NQn6SVWm2XBzdJvajf2iNGhnb2lk0Dnkq8r4a1Syg2fgQ4dHq-hoYiY75lOrVayNnoVpDwYSWnMTgCCUGtiJvtlFzAXgLKuOIY.uLEDD9VxuqvuUwR_hZpg9tJPiZ9intTmiv9oPB27T70&dib_tag=se&keywords=laptop&qid=1750080793&sprefix=laptop%2Caps%2C236&sr=8-72
"HP 15 (2025), AMD Ryzen 5 7520U Quad Core - (8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/1.5 kg/MS Office 2021",29050,https://www.amazon.in/HP-15-Ryzen-7520U-Quad/dp/B0F6THYC4V/ref=sr_1_73?crid=13LY6V3ENLKJD&dib=eyJ2IjoiMSJ9.Uj4MYBESiSDAH75uwf6SpWkj4OQ0FyMvxO3zT9xgY7T5zLBlupVniJu3NNUPccJrz01Mq2G2Yl3yoozz0cf2bxUG0-VMeHtDMSG_rFTiIwn2xAsRqVsEWsudxEUP5E8i_joGFfZZ9NQn6SVWm2XBzdJvajf2iNGhnb2lk0Dnkq8r4a1Syg2fgQ4dHq-hoYiY75lOrVayNnoVpDwYSWnMTgCCUGtiJvtlFzAXgLKuOIY.uLEDD9VxuqvuUwR_hZpg9tJPiZ9intTmiv9oPB27T70&dib_tag=se&keywords=laptop&qid=1750080793&sprefix=laptop%2Caps%2C236&sr=8-73
"Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,Flipped 360 Degree, Windows 11,Intel Core i3-1215U 12th gen, 46.2Wh, 12 GB RAM LPDDR4 512 GB SSD Expandable Upto 1 TB, Backlit Keyboard",29990,https://www.amazon.in/Chuwi-FreeBook-Touchscreen-i3-1215U-Expandable/dp/B0B1M6XJBJ/ref=sr_1_74?crid=13LY6V3ENLKJD&dib=eyJ2IjoiMSJ9.Uj4MYBESiSDAH75uwf6SpWkj4OQ0FyMvxO3zT9xgY7T5zLBlupVniJu3NNUPccJrz01Mq2G2Yl3yoozz0cf2bxUG0-VMeHtDMSG_rFTiIwn2xAsRqVsEWsudxEUP5E8i_joGFfZZ9NQn6SVWm2XBzdJvajf2iNGhnb2lk0Dnkq8r4a1Syg2fgQ4dHq-hoYiY75lOrVayNnoVpDwYSWnMTgCCUGtiJvtlFzAXgLKuOIY.uLEDD9VxuqvuUwR_hZpg9tJPiZ9intTmiv9oPB27T70&dib_tag=se&keywords=laptop&qid=1750080793&sprefix=laptop%2Caps%2C236&sr=8-74
"Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty",45999,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5ODc3NjI1MzU5MzUxNzc6MTc1MDA4MDc5MzpzcF9tdGY6MzAwNTUxMzg2NjExMzMyOjowOjo&url=%2FLenovo-i7-1255U-4-70Ghz-Windows-Warranty%2Fdp%2FB0F32ZBDNJ%2Fref%3Dsr_1_75_sspa%3Fcrid%3D13LY6V3ENLKJD%26dib%3DeyJ2IjoiMSJ9.Uj4MYBESiSDAH75uwf6SpWkj4OQ0FyMvxO3zT9xgY7T5zLBlupVniJu3NNUPccJrz01Mq2G2Yl3yoozz0cf2bxUG0-VMeHtDMSG_rFTiIwn2xAsRqVsEWsudxEUP5E8i_joGFfZZ9NQn6SVWm2XBzdJvajf2iNGhnb2lk0Dnkq8r4a1Syg2fgQ4dHq-hoYiY75lOrVayNnoVpDwYSWnMTgCCUGtiJvtlFzAXgLKuOIY.uLEDD9VxuqvuUwR_hZpg9tJPiZ9intTmiv9oPB27T70%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1750080793%26sprefix%3Dlaptop%252Caps%252C236%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"HP 15, AMD Ryzen 5 7530U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11, M365 Basic(1yr),Office Home24, Silver,1.59kg, Radeon Graphics, FHD Camera w/Shutter, fc0389AU",45990,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5ODc3NjI1MzU5MzUxNzc6MTc1MDA4MDc5MzpzcF9tdGY6MzAwNTkwNDcxNDYyNzMyOjowOjo&url=%2FHP-Anti-Glare-Micro-Edge-Graphics-fc0389AU%2Fdp%2FB0DVLPPPRN%2Fref%3Dsr_1_76_sspa%3Fcrid%3D13LY6V3ENLKJD%26dib%3DeyJ2IjoiMSJ9.Uj4MYBESiSDAH75uwf6SpWkj4OQ0FyMvxO3zT9xgY7T5zLBlupVniJu3NNUPccJrz01Mq2G2Yl3yoozz0cf2bxUG0-VMeHtDMSG_rFTiIwn2xAsRqVsEWsudxEUP5E8i_joGFfZZ9NQn6SVWm2XBzdJvajf2iNGhnb2lk0Dnkq8r4a1Syg2fgQ4dHq-hoYiY75lOrVayNnoVpDwYSWnMTgCCUGtiJvtlFzAXgLKuOIY.uLEDD9VxuqvuUwR_hZpg9tJPiZ9intTmiv9oPB27T70%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1750080793%26sprefix%3Dlaptop%252Caps%252C236%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Storio Toys Educational Learning Laptop Toy with LED Display & Music Effect|Educational Toy Preschool Learning for Babies,Girls,Boys & Toddlers|Power Source: 3xAA Battery (Not Included)-Pink,Multi",347,https://www.amazon.in/Storio-Educational-Learning-Preschool-Toddlers/dp/B0DVLK9S47/ref=sr_1_77?crid=13LY6V3ENLKJD&dib=eyJ2IjoiMSJ9.Uj4MYBESiSDAH75uwf6SpWkj4OQ0FyMvxO3zT9xgY7T5zLBlupVniJu3NNUPccJrz01Mq2G2Yl3yoozz0cf2bxUG0-VMeHtDMSG_rFTiIwn2xAsRqVsEWsudxEUP5E8i_joGFfZZ9NQn6SVWm2XBzdJvajf2iNGhnb2lk0Dnkq8r4a1Syg2fgQ4dHq-hoYiY75lOrVayNnoVpDwYSWnMTgCCUGtiJvtlFzAXgLKuOIY.uLEDD9VxuqvuUwR_hZpg9tJPiZ9intTmiv9oPB27T70&dib_tag=se&keywords=laptop&qid=1750080793&sprefix=laptop%2Caps%2C236&sr=8-77
